Timestamp_s,Frame_Index,Crowd_Count,Avg_Speed_norm,Detected_Condition,Risk_Score
8.5,255,4,0.0205,Normal,0.32
8.53,256,4,0.0126,Normal,0.27
8.57,257,4,0.0078,Normal,0.24
8.6,258,4,0.011,Normal,0.26
8.63,259,4,0.0,Normal,0.2
8.67,260,4,0.0133,Normal,0.28
8.7,261,4,0.0039,Normal,0.22
8.73,262,4,0.0094,Normal,0.25
8.77,263,4,0.0039,Normal,0.22
8.8,264,4,0.0156,Normal,0.29
8.83,265,4,0.0133,Normal,0.28
8.87,266,4,0.011,Normal,0.26
8.9,267,4,0.0163,Normal,0.29
8.93,268,4,0.0117,Normal,0.27
8.97,269,4,0.0039,Normal,0.22
9.0,270,4,0.0039,Normal,0.22
9.03,271,4,0.0078,Normal,0.24
9.07,272,4,0.0039,Normal,0.22
9.1,273,4,0.0078,Normal,0.24
9.13,274,4,0.0039,Normal,0.22
9.17,275,4,0.0039,Normal,0.22
9.2,276,4,0.0,Normal,0.2
9.23,277,4,0.0117,Normal,0.27
9.27,278,4,0.0078,Normal,0.24
9.3,279,4,0.0094,Normal,0.25
9.33,280,4,0.0165,Normal,0.29
9.37,281,4,0.0126,Normal,0.27
9.4,282,4,0.0055,Normal,0.23
9.43,283,4,0.0141,Normal,0.28
9.47,284,4,0.0126,Normal,0.27
9.5,285,4,0.0117,Normal,0.27
9.53,286,4,0.0078,Normal,0.24
9.57,287,4,0.0094,Normal,0.25
9.6,288,4,0.0039,Normal,0.22
9.63,289,4,0.0,Normal,0.2
9.67,290,4,0.0039,Normal,0.22
9.7,291,4,0.0055,Normal,0.23
9.73,292,4,0.0055,Normal,0.23
9.77,293,4,0.0126,Normal,0.27
9.8,294,4,0.0094,Normal,0.25
9.83,295,4,0.0126,Normal,0.27
9.87,296,4,0.0133,Normal,0.28
9.9,297,4,0.0165,Normal,0.29
9.93,298,4,0.0219,Normal,0.32
9.97,299,4,0.0078,Normal,0.24
