timestamp,event_id,event_type,severity,drowsiness_score,speed,frame_number,evidence_filename,clip_filename,details
2026-07-29 15:58:24,evt_515_4225,DRIVER_MISSING,CRITICAL,7.2,74.8,515,evidence_DRIVER_MISSING_20260729_155824_frame_515.jpg,event_DRIVER_MISSING_20260729_155824.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:58:29,evt_615_9809,PHONE_USAGE,CRITICAL,5.0,85.7,615,evidence_PHONE_USAGE_20260729_155829_frame_615.jpg,event_PHONE_USAGE_20260729_155829.mp4,Driver detected holding cell phone.
2026-07-29 15:58:30,evt_622_590,HEAD_POSE_TILT,WARNING,1.8,84.7,622,evidence_HEAD_POSE_TILT_20260729_155830_frame_622.jpg,event_PHONE_USAGE_20260729_155829.mp4,"Driver head tilt/distraction: pitch=173.8, roll=-19.0, yaw=32.2"
2026-07-29 15:58:32,evt_651_2527,HEAD_POSE_TILT,WARNING,45.2,80.6,651,evidence_HEAD_POSE_TILT_20260729_155832_frame_651.jpg,event_PHONE_USAGE_20260729_155829.mp4,"Driver head tilt/distraction: pitch=-174.3, roll=-16.5, yaw=-28.2"
2026-07-29 15:58:34,evt_681_4608,HEAD_POSE_TILT,WARNING,62.2,76.0,681,evidence_HEAD_POSE_TILT_20260729_155834_frame_681.jpg,event_HEAD_POSE_TILT_20260729_155834.mp4,"Driver head tilt/distraction: pitch=177.6, roll=-9.7, yaw=38.7"
2026-07-29 15:58:36,evt_710_6513,HEAD_POSE_TILT,WARNING,81.4,74.5,710,evidence_HEAD_POSE_TILT_20260729_155836_frame_710.jpg,event_HEAD_POSE_TILT_20260729_155834.mp4,"Driver head tilt/distraction: pitch=176.5, roll=-14.0, yaw=2.4"
2026-07-29 15:58:38,evt_738_8354,PHONE_USAGE,CRITICAL,71.0,78.3,738,evidence_PHONE_USAGE_20260729_155838_frame_738.jpg,event_HEAD_POSE_TILT_20260729_155834.mp4,Driver detected holding cell phone.
2026-07-29 15:58:38,evt_740_8990,HEAD_POSE_TILT,WARNING,69.8,77.6,740,evidence_HEAD_POSE_TILT_20260729_155838_frame_740.jpg,event_HEAD_POSE_TILT_20260729_155838.mp4,"Driver head tilt/distraction: pitch=-175.4, roll=-5.9, yaw=-51.8"
2026-07-29 15:58:40,evt_769_900,HEAD_POSE_TILT,WARNING,64.8,81.7,769,evidence_HEAD_POSE_TILT_20260729_155840_frame_769.jpg,event_HEAD_POSE_TILT_20260729_155838.mp4,"Driver head tilt/distraction: pitch=177.3, roll=-2.0, yaw=-24.2"
2026-07-29 15:58:42,evt_798_2818,HEAD_POSE_TILT,WARNING,53.2,85.3,798,evidence_HEAD_POSE_TILT_20260729_155842_frame_798.jpg,event_HEAD_POSE_TILT_20260729_155838.mp4,"Driver head tilt/distraction: pitch=-176.3, roll=-3.8, yaw=-34.1"
2026-07-29 15:58:43,evt_812_3858,PHONE_USAGE,CRITICAL,56.2,84.1,812,evidence_PHONE_USAGE_20260729_155843_frame_812.jpg,event_PHONE_USAGE_20260729_155843.mp4,Driver detected holding cell phone.
2026-07-29 15:58:48,evt_883_8314,HEAD_POSE_TILT,WARNING,48.2,75.7,883,evidence_HEAD_POSE_TILT_20260729_155848_frame_883.jpg,event_HEAD_POSE_TILT_20260729_155848.mp4,"Driver head tilt/distraction: pitch=177.0, roll=-12.6, yaw=28.2"
2026-07-29 15:58:50,evt_912_172,HEAD_POSE_TILT,WARNING,52.0,76.0,912,evidence_HEAD_POSE_TILT_20260729_155850_frame_912.jpg,event_HEAD_POSE_TILT_20260729_155848.mp4,"Driver head tilt/distraction: pitch=170.9, roll=3.6, yaw=16.0"
